SR_NO,UID,NAME,URL,CATEGORIES,APPLICATION,SERIES,LENGTH,WIDTH,INSPIRATION,FINISH,COLOR,R,G,B,SQ.FT.,MINIMAL,BOHEMIAN,ASIAN,ART_MODERNE,FRENCH_COUNTRY,INDUSTRIAL,COASTAL_TROPICAL
848,1848,VRM 1103,https://varmora.com/product/floor-tiles/vrm-1103/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BEIGE,0.88,0.8,0.71,15.5,0,0,0,0,1,0,0
849,1849,VRM 1104,https://varmora.com/product/floor-tiles/vrm-1104/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BROWN,0.47,0.3,0.13,15.5,0,0,0,0,1,0,0
850,1850,VRM 1107,https://varmora.com/product/floor-tiles/vrm-1107/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BEIGE,0.72,0.61,0.5,15.5,0,0,0,0,1,0,0
851,1851,VRM 1114,https://varmora.com/product/floor-tiles/vrm-1114/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, GEOMETRIC, MATT, BEIGE,0.75,0.64,0.55,15.5,0,1,0,0,1,0,0
852,1852,VRM 3013,https://varmora.com/product/floor-tiles/vrm-3013/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BROWN,0.67,0.56,0.46,15.5,0,1,0,0,0,0,0
853,1853,VRM 3018,https://varmora.com/product/floor-tiles/vrm-3018/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, WHITE,0.85,0.83,0.8,15.5,0,0,0,0,0,1,0
854,1854,VRM 3019,https://varmora.com/product/floor-tiles/vrm-3019/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BLACK,0.59,0.52,0.46,15.5,0,1,0,0,0,0,0
855,1855,VRM 3020,https://varmora.com/product/floor-tiles/vrm-3020/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BEIGE,0.75,0.59,0.44,15.5,0,0,0,0,1,0,0
856,1856,VRM 3021,https://varmora.com/product/floor-tiles/vrm-3021/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BROWN,0.69,0.49,0.33,15.5,0,0,0,0,1,0,0
857,1857,VRM 3022,https://varmora.com/product/floor-tiles/vrm-3022/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, MULTI,0.67,0.55,0.43,15.5,0,1,0,0,0,0,0
858,1858,VRM 3023,https://varmora.com/product/floor-tiles/vrm-3023/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BEIGE,0.78,0.6,0.42,15.5,0,1,0,0,0,0,0
859,1859,VRM 4003,https://varmora.com/product/floor-tiles/vrm-4003/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, MARBLE, MATT, WHITE,0.99,0.99,0.98,15.5,1,0,0,0,0,0,0
860,1860,VRM 4004,https://varmora.com/product/floor-tiles/vrm-4004/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, MARBLE, MATT, BEIGE,0.93,0.91,0.84,15.5,1,0,1,0,0,0,0
861,1861,VRM 4005,https://varmora.com/product/floor-tiles/vrm-4005/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BEIGE,0.75,0.66,0.54,15.5,0,1,0,0,1,0,0
862,1862,VRM 5001,https://varmora.com/product/floor-tiles/vrm-5001/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BROWN,0.77,0.57,0.44,15.5,0,1,0,0,1,0,0
863,1863,VRM 5002,https://varmora.com/product/floor-tiles/vrm-5001-2/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BROWN,0.66,0.57,0.5,15.5,0,1,0,0,1,0,0
864,1864,VRM 5003,https://varmora.com/product/floor-tiles/vrm-5003/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BROWN,0.81,0.64,0.52,15.5,0,1,0,0,1,0,0
865,1865,VRM 5004,https://varmora.com/product/floor-tiles/vrm-5004/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BEIGE,0.86,0.71,0.57,15.5,0,1,0,0,1,0,0
866,1866,VRM 5005,https://varmora.com/product/floor-tiles/vrm-5005/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BLACK,0.55,0.51,0.48,15.5,0,1,0,0,1,0,0
867,1867,VRM 5006,https://varmora.com/product/floor-tiles/vrm-5006/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, GREY,0.62,0.61,0.61,15.5,0,1,0,0,1,0,0
868,1868,VRM 5007,https://varmora.com/product/floor-tiles/vrm-5007/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BIANCO,0.95,0.93,0.91,15.5,0,1,0,0,1,0,0
869,1869,VRM 5008,https://varmora.com/product/floor-tiles/vrm-5008/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, CEMENT, MATT, GREY,0.59,0.55,0.5,15.5,0,1,0,0,1,0,0
870,1870,VRM 5009,https://varmora.com/product/floor-tiles/vrm-5009/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, GREY,0.75,0.75,0.73,15.5,0,1,0,0,1,0,0
871,1871,VRM 5010,https://varmora.com/product/floor-tiles/vrm-5010/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BEIGE,0.79,0.67,0.57,15.5,0,1,0,0,1,0,0
872,1872,VRM 5011,https://varmora.com/product/floor-tiles/vrm-5011/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BROWN,0.68,0.54,0.42,15.5,0,1,0,0,1,0,0
873,1873,VRM 5012,https://varmora.com/product/floor-tiles/vrm-5012/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BROWN,0.44,0.27,0.14,15.5,0,0,0,0,1,1,0
874,1874,VRM 5013,https://varmora.com/product/floor-tiles/vrm-5013/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BROWN,0.25,0.15,0.07,15.5,0,0,0,0,1,1,0
875,1875,VRM 5014,https://varmora.com/product/floor-tiles/vrm-5014/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BROWN,0.44,0.24,0.1,15.5,0,0,0,0,1,1,0
876,1876,VRM 5015,https://varmora.com/product/floor-tiles/vrm-5015/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BROWN,0.3,0.18,0.1,15.5,0,0,0,0,1,1,0
877,1877,VRM 5016,https://varmora.com/product/floor-tiles/vrm-5016/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, IVORY,0.87,0.8,0.74,15.5,0,0,0,0,1,1,0
878,1878,VRM 5017,https://varmora.com/product/floor-tiles/vrm-5017/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BROWN,0.34,0.23,0.14,15.5,0,0,0,1,1,0,0
879,1879,VRM 5018,https://varmora.com/product/floor-tiles/vrm-5018/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BROWN,0.38,0.3,0.23,15.5,0,0,0,1,1,0,0
880,1880,VRM 6001,https://varmora.com/product/floor-tiles/vrm-6001/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BEIGE,0.68,0.46,0.29,15.5,0,0,0,0,1,1,0
881,1881,VRM 6002,https://varmora.com/product/floor-tiles/vrm-6002/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BROWN,0.63,0.39,0.23,15.5,0,0,0,0,1,1,0
882,1882,VRM 6003,https://varmora.com/product/floor-tiles/vrm-6003/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BROWN,0.38,0.25,0.16,15.5,0,0,0,0,1,1,0
883,1883,VRM 6004,https://varmora.com/product/floor-tiles/vrm-6004/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BEIGE,0.8,0.71,0.6,15.5,0,1,0,0,0,0,0
884,1884,VRM 6005,https://varmora.com/product/floor-tiles/vrm-6005/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BROWN,0.7,0.52,0.37,15.5,0,1,0,0,0,0,0
885,1885,VRM 6006,https://varmora.com/product/floor-tiles/vrm-6006/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, MULTI,0.59,0.46,0.32,15.5,0,1,0,0,0,0,0
886,1886,VRM 6007,https://varmora.com/product/floor-tiles/vrm-6007/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, IVORY,0.69,0.61,0.57,15.5,0,1,0,0,0,0,0
887,1887,VRM 6008,https://varmora.com/product/floor-tiles/vrm-6008/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, MULTI,0.66,0.61,0.56,15.5,0,1,0,0,0,0,0
888,1888,VRM 6009,https://varmora.com/product/floor-tiles/vrm-6009/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BEIGE,0.81,0.59,0.39,15.5,0,1,0,0,0,0,0
889,1889,VRM 6010,https://varmora.com/product/floor-tiles/vrm-6010/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, BROWN,0.66,0.61,0.54,15.5,0,0,0,0,1,0,0
890,1890,VRM 6011,https://varmora.com/product/floor-tiles/vrm-6011/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, WOOD, MATT, GREY,0.75,0.71,0.64,15.5,0,1,0,0,0,0,0
891,1891,VRM 7001,https://varmora.com/product/floor-tiles/vrm-7001/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, MARBLE, MATT, BEIGE,0.95,0.91,0.88,15.5,0,0,0,0,0,1,0
892,1892,VRM 7002,https://varmora.com/product/floor-tiles/vrm-7002/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, MARBLE, MATT, BEIGE,0.93,0.89,0.85,15.5,1,0,0,0,0,0,0
893,1893,VRM 7003,https://varmora.com/product/floor-tiles/vrm-7003/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, MARBLE, MATT, BEIGE,0.95,0.91,0.84,15.5,1,0,0,0,0,0,0
894,1894,VRM 7004,https://varmora.com/product/floor-tiles/vrm-7004/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, MARBLE, MATT, BEIGE,0.95,0.89,0.84,15.5,0,0,0,1,0,0,0
895,1895,VRM 7005,https://varmora.com/product/floor-tiles/vrm-7005/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, STONE, MATT, BROWN,0.58,0.4,0.28,15.5,0,0,0,0,0,1,0
896,1896,VRM 7006,https://varmora.com/product/floor-tiles/vrm-7006/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, STONE, MATT, IVORY,0.86,0.77,0.69,15.5,0,0,0,0,0,1,0
897,1897,VRM 7007,https://varmora.com/product/floor-tiles/vrm-7007/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, MARBLE, MATT, BEIGE,0.88,0.81,0.77,15.5,0,1,0,0,0,0,0
898,1898,VRM 7008,https://varmora.com/product/floor-tiles/vrm-7008/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, MARBLE, MATT, BROWN,0.77,0.66,0.58,15.5,0,1,0,0,0,0,0
899,1899,VRM 7009,https://varmora.com/product/floor-tiles/vrm-7009/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, MARBLE, MATT, GREY,0.8,0.8,0.82,15.5,0,1,0,0,0,0,0
900,1900,VRM 7021,https://varmora.com/product/floor-tiles/vrm-7021/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, STONE, MATT, BROWN,0.4,0.27,0.18,15.5,0,0,0,0,0,1,0
901,1901,VRM 7022,https://varmora.com/product/floor-tiles/vrm-7022/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, STONE, MATT, BROWN,0.57,0.45,0.38,15.5,0,0,0,0,0,1,0
902,1902,VRM 7023,https://varmora.com/product/floor-tiles/vrm-7023/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, CEMENT, MATT, BLACK,0.35,0.35,0.36,15.5,0,0,0,0,0,1,0
903,1903,VRM 7024,https://varmora.com/product/floor-tiles/vrm-7024/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, STONE, MATT, BEIGE,0.89,0.84,0.8,15.5,0,0,0,0,0,1,0
904,1904,VRM 7025,https://varmora.com/product/floor-tiles/vrm-7025/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, CEMENT, MATT, BEIGE,0.94,0.9,0.84,15.5,0,0,0,0,0,1,0
905,1905,VRM 7026,https://varmora.com/product/floor-tiles/vrm-7026/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, MARBLE, MATT, WHITE,0.98,0.98,0.98,15.5,0,0,0,1,0,0,0
906,1906,VRM 7027,https://varmora.com/product/floor-tiles/vrm-7027/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, MARBLE, MATT, BEIGE,0.93,0.88,0.84,15.5,0,0,0,1,0,0,0
907,1907,VRM 7028,https://varmora.com/product/floor-tiles/vrm-7028/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, MARBLE, MATT, BEIGE,0.95,0.9,0.84,15.5,0,0,0,1,0,0,0
908,1908,VRM 7029,https://varmora.com/product/floor-tiles/vrm-7029/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, MARBLE, MATT, BEIGE,0.87,0.84,0.8,15.5,0,0,0,0,0,0,1
924,1924,WOODLAND,https://varmora.com/product/floor-tiles/woodland/, VITRIFIED, WALL & FLOOR, SASSO,600,600, WOOD, GLOSSY, IVORY,0.94,0.88,0.79,15.5,0,0,1,0,1,0,0
931,1931,ZINNOBER,https://varmora.com/product/floor-tiles/zinnober/, VITRIFIED, WALL & FLOOR, SASSO,600,600, MARBLE, GLOSSY, IVORY,0.88,0.86,0.79,15.5,1,0,0,0,0,1,0
