SR_NO,UID,NAME,URL,CATEGORIES,APPLICATION,SERIES,LENGTH,WIDTH,INSPIRATION,FINISH,COLOR,R,G,B,SQ.FT.,MINIMAL,BOHEMIAN,ASIAN,ART_MODERNE,FRENCH_COUNTRY,INDUSTRIAL,COASTAL_TROPICAL
498,1498,MERANTI WOOD WENGUE,https://varmora.com/product/floor-tiles/meranti-wood-wengue/, GVT, WALL & FLOOR, WOODENZA,600,600, WOOD, WOODEN, WANGUE,0.48,0.36,0.27,15.5,0,0,0,0,1,0,0
516,1516,MONTANA,https://varmora.com/product/floor-tiles/montana/, GVT, WALL & FLOOR, EMPIRE,600,600, GEOMETRIC, RUSTIC, BEIGE,0.74,0.67,0.59,15.5,0,1,0,0,0,0,0
519,1519,MOZILA,https://varmora.com/product/floor-tiles/mozila/, GVT, WALL & FLOOR, XTREAM,600,600, MARBLE, GLOSSY, BEIGE,0.85,0.82,0.78,15.5,0,0,0,1,0,0,0
520,1520,MURATO AZUL,https://varmora.com/product/floor-tiles/murato-azul/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, AZUL,0.47,0.54,0.63,15.5,1,1,0,0,0,0,1
521,1521,MURATO BROWN,https://varmora.com/product/floor-tiles/murato-brown/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, BROWN,0.53,0.38,0.23,15.5,1,0,0,0,0,0,0
522,1522,MURATO CREMA,https://varmora.com/product/floor-tiles/murato-crema/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, CREAM,0.92,0.84,0.73,15.5,1,0,0,0,0,0,0
523,1523,MURATO PEARL,https://varmora.com/product/floor-tiles/murato-pearl/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, PEARL,0.9,0.89,0.86,15.5,1,0,0,0,0,0,0
540,1540,NIOVE,https://varmora.com/product/floor-tiles/niove/, VITRIFIED, WALL & FLOOR, SASSO,600,600, WOOD, GLOSSY, IVORY,0.9,0.86,0.78,15.5,1,0,0,0,1,0,0
543,1543,NOEMI WHITE,https://varmora.com/product/floor-tiles/noemi-white/, GVT, WALL & FLOOR, SUPERBO,600,600, MARBLE, GLOSSY, WHITE,0.95,0.94,0.93,15.5,0,0,0,1,0,0,0
554,1554,OLEG,https://varmora.com/product/floor-tiles/oleg/, GVT, WALL & FLOOR, XTREAM,600,600, GEOMETRIC, GLOSSY, WHITE,0.91,0.92,0.93,15.5,0,1,0,0,0,0,0
556,1556,OLIVINE,https://varmora.com/product/floor-tiles/olivine/, VITRIFIED, WALL & FLOOR, SASSO,600,600, MARBLE, GLOSSY, IVORY,0.89,0.84,0.75,15.5,1,0,0,0,0,0,0
557,1557,OLYMPOS AZUL,https://varmora.com/product/floor-tiles/olympos-azul/, GVT, WALL & FLOOR, HI-GLOSS,600,600, MARBLE, HIGH GLOSS, AZUL,0.27,0.34,0.41,15.5,0,0,0,1,0,0,1
559,1559,OMANO BLACK,https://varmora.com/product/floor-tiles/omano-black/, DOUBLE CHARGE, WALL & FLOOR, OMANO DK,600,600, MARBLE, GLOSSY, BLACK,0.33,0.32,0.31,15.5,0,0,1,1,0,0,0
560,1560,OMANO GOLD,https://varmora.com/product/floor-tiles/omano-gold/, DOUBLE CHARGE, WALL & FLOOR, OMANO LT,600,600, MARBLE, GLOSSY, GOLD,0.96,0.95,0.9,15.5,1,0,0,0,0,0,0
561,1561,OMANO PEARL,https://varmora.com/product/floor-tiles/omano-pearl/, DOUBLE CHARGE, WALL & FLOOR, OMANO LT,600,600, MARBLE, GLOSSY, PEARL,0.95,0.93,0.9,15.5,1,0,0,0,0,0,0
562,1562,OMANO RED,https://varmora.com/product/floor-tiles/omano-red/, DOUBLE CHARGE, WALL & FLOOR, OMANO DK,600,600, MARBLE, GLOSSY, RED,0.63,0.43,0.4,15.5,0,0,0,1,1,0,0
563,1563,OPIATE BLUE,https://varmora.com/product/floor-tiles/opiate-blue/, GVT, WALL & FLOOR, XTREAM,600,600, GEOMETRIC, GLOSSY, BLUE,0.76,0.78,0.81,15.5,0,1,1,0,0,0,1
564,1564,OPIATE GREY,https://varmora.com/product/floor-tiles/opiate-grey/, GVT, WALL & FLOOR, XTREAM,600,600, GEOMETRIC, GLOSSY, GREY,0.81,0.82,0.81,15.5,0,1,1,0,0,0,0
565,1565,OPIATE ORANGE,https://varmora.com/product/floor-tiles/opiate-orange/, GVT, WALL & FLOOR, XTREAM,600,600, GEOMETRIC, GLOSSY, ORANGE,0.82,0.78,0.74,15.5,0,1,1,0,0,0,0
574,1574,ORION WOOD,https://varmora.com/product/floor-tiles/orion-wood/, VITRIFIED, WALL & FLOOR, SASSO,600,600, WOOD, GLOSSY, IVORY,0.93,0.88,0.82,15.5,1,0,0,0,1,0,0
